"level","variable","estimate","standard_error","p_val","p_val_adj"
"algae_q0","exploratoryHainich",-0.426,0.625,0.497,0.735
"algae_q0","exploratorySchorfheide",-1.404,1.385,0.313,0.603
"algae_q0","rH_200",0.08,0.145,0.582,0.793
"algae_q0","Ta_200",0.262,0.503,0.603,0.798
"algae_q0","stand_density_basal_area",-0.037,0.082,0.651,0.837
"algae_q0","DBH_avg",-0.013,0.083,0.878,0.928
"algae_q0","d_gini",0.072,0.088,0.417,0.697
"algae_q0","canopy_openness_2019",-0.123,0.088,0.162,0.39
"algae_q0","dom_tot_ratio",0.057,0.081,0.488,0.732
"algae_q0","RA_forest",0.131,0.088,0.142,0.364
"algae_q0","bac_q0",-0.066,0.1,0.509,0.743
"algae_q0","fun_q0",0.364,0.098,0,0.005
"algae_q1","exploratoryHainich",-1.007,0.78,0.199,0.448
"algae_q1","exploratorySchorfheide",-2.141,1.698,0.21,0.463
"algae_q1","rH_200",0.15,0.176,0.397,0.68
"algae_q1","Ta_200",0.439,0.605,0.47,0.715
"algae_q1","stand_density_basal_area",-0.165,0.1,0.101,0.294
"algae_q1","DBH_avg",-0.028,0.102,0.782,0.908
"algae_q1","d_gini",0.013,0.107,0.901,0.928
"algae_q1","canopy_openness_2019",-0.211,0.106,0.048,0.199
"algae_q1","dom_tot_ratio",0.151,0.099,0.129,0.34
"algae_q1","RA_forest",0.11,0.106,0.302,0.594
"algae_q1","bac_q1",0.055,0.101,0.588,0.793
"algae_q1","fun_q1",0.092,0.125,0.459,0.709
"algae_q2","exploratoryHainich",-1.335,0.787,0.093,0.278
"algae_q2","exploratorySchorfheide",-2.499,1.711,0.147,0.368
"algae_q2","rH_200",0.2,0.178,0.263,0.546
"algae_q2","Ta_200",0.497,0.614,0.42,0.697
"algae_q2","stand_density_basal_area",-0.199,0.102,0.053,0.213
"algae_q2","DBH_avg",-0.089,0.104,0.393,0.68
"algae_q2","d_gini",-0.023,0.107,0.826,0.928
"algae_q2","canopy_openness_2019",-0.217,0.107,0.045,0.197
"algae_q2","dom_tot_ratio",0.185,0.1,0.067,0.244
"algae_q2","RA_forest",0.083,0.108,0.447,0.709
"algae_q2","bac_q2",0.17,0.099,0.088,0.273
"algae_q2","fun_q2",-0.072,0.125,0.564,0.782
"bacteria_q0","exploratoryHainich",0.554,0.456,0.227,0.491
"bacteria_q0","exploratorySchorfheide",0.951,1.014,0.35,0.63
"bacteria_q0","rH_200",-0.166,0.104,0.115,0.327
"bacteria_q0","Ta_200",-0.356,0.368,0.335,0.613
"bacteria_q0","stand_density_basal_area",-0.026,0.06,0.67,0.842
"bacteria_q0","DBH_avg",0.061,0.061,0.321,0.605
"bacteria_q0","d_gini",0.252,0.062,0,0.003
"bacteria_q0","canopy_openness_2019",-0.236,0.061,0,0.005
"bacteria_q0","dom_tot_ratio",-0.006,0.06,0.926,0.943
"bacteria_q0","RA_forest",0.04,0.065,0.535,0.771
"bacteria_q0","fun_q0",0.418,0.067,0,0
"bacteria_q0","alg_q0",-0.01,0.063,0.879,0.928
"bacteria_q1","exploratoryHainich",0.488,0.646,0.451,0.709
"bacteria_q1","exploratorySchorfheide",0.201,1.403,0.886,0.928
"bacteria_q1","rH_200",-0.053,0.144,0.714,0.861
"bacteria_q1","Ta_200",0.061,0.498,0.902,0.928
"bacteria_q1","stand_density_basal_area",0.084,0.081,0.299,0.594
"bacteria_q1","DBH_avg",0.159,0.083,0.058,0.225
"bacteria_q1","d_gini",0.31,0.082,0,0.005
"bacteria_q1","canopy_openness_2019",-0.184,0.085,0.032,0.143
"bacteria_q1","dom_tot_ratio",0.032,0.081,0.69,0.846
"bacteria_q1","RA_forest",0.025,0.087,0.774,0.908
"bacteria_q1","fun_q1",0.326,0.099,0.001,0.021
"bacteria_q1","alg_q1",0.112,0.077,0.151,0.371
"bacteria_q2","exploratoryHainich",0.373,0.727,0.609,0.798
"bacteria_q2","exploratorySchorfheide",-0.669,1.564,0.67,0.842
"bacteria_q2","rH_200",0.095,0.161,0.556,0.782
"bacteria_q2","Ta_200",0.437,0.556,0.434,0.709
"bacteria_q2","stand_density_basal_area",0.139,0.091,0.128,0.34
"bacteria_q2","DBH_avg",0.204,0.093,0.03,0.143
"bacteria_q2","d_gini",0.232,0.093,0.014,0.078
"bacteria_q2","canopy_openness_2019",-0.035,0.097,0.717,0.861
"bacteria_q2","dom_tot_ratio",0.016,0.091,0.861,0.928
"bacteria_q2","RA_forest",0.013,0.097,0.891,0.928
"bacteria_q2","fun_q2",0.199,0.112,0.08,0.26
"bacteria_q2","alg_q2",0.215,0.086,0.014,0.078
"fungi_q0","exploratoryHainich",-1.213,0.503,0.017,0.085
"fungi_q0","exploratorySchorfheide",-2.779,1.12,0.014,0.078
"fungi_q0","rH_200",0.311,0.116,0.008,0.063
"fungi_q0","Ta_200",0.728,0.41,0.078,0.26
"fungi_q0","stand_density_basal_area",0.002,0.067,0.975,0.975
"fungi_q0","DBH_avg",0.014,0.068,0.834,0.928
"fungi_q0","d_gini",-0.071,0.072,0.325,0.605
"fungi_q0","canopy_openness_2019",0.169,0.068,0.015,0.078
"fungi_q0","dom_tot_ratio",0.02,0.066,0.76,0.902
"fungi_q0","RA_forest",0.005,0.072,0.947,0.956
"fungi_q0","bac_q0",0.324,0.071,0,0.001
"fungi_q0","alg_q0",0.183,0.066,0.006,0.056
"fungi_q1","exploratoryHainich",-2.049,0.634,0.002,0.021
"fungi_q1","exploratorySchorfheide",-4,1.404,0.005,0.055
"fungi_q1","rH_200",0.407,0.145,0.006,0.055
"fungi_q1","Ta_200",0.885,0.513,0.087,0.273
"fungi_q1","stand_density_basal_area",-0.035,0.085,0.681,0.846
"fungi_q1","DBH_avg",-0.089,0.086,0.303,0.594
"fungi_q1","d_gini",-0.14,0.09,0.122,0.337
"fungi_q1","canopy_openness_2019",0.225,0.085,0.009,0.063
"fungi_q1","dom_tot_ratio",0.043,0.084,0.613,0.798
"fungi_q1","RA_forest",0.013,0.091,0.889,0.928
"fungi_q1","bac_q1",0.155,0.085,0.07,0.244
"fungi_q1","alg_q1",0.017,0.081,0.833,0.928
"fungi_q2","exploratoryHainich",-2.075,0.66,0.002,0.025
"fungi_q2","exploratorySchorfheide",-3.624,1.463,0.015,0.078
"fungi_q2","rH_200",0.381,0.151,0.013,0.078
"fungi_q2","Ta_200",0.741,0.536,0.169,0.397
"fungi_q2","stand_density_basal_area",-0.08,0.089,0.375,0.664
"fungi_q2","DBH_avg",-0.106,0.09,0.243,0.514
"fungi_q2","d_gini",-0.168,0.092,0.07,0.244
"fungi_q2","canopy_openness_2019",0.242,0.088,0.007,0.057
"fungi_q2","dom_tot_ratio",0.051,0.088,0.564,0.782
"fungi_q2","RA_forest",0.017,0.095,0.858,0.928
"fungi_q2","bac_q2",0.116,0.088,0.19,0.437
"fungi_q2","alg_q2",-0.064,0.086,0.453,0.709
